Issue,Location,Device,Severity,Evidence,Likely Cause,Decision,Status,Date
Tutorial steps 3-5 pointed to empty or inactive UI,TutorialOverlay.jsx; readiscoverTutorialSteps.js,Desktop/Mobile,High,Review screenshots showed tutorial callouts around blank margin/inspect regions instead of live features.,Tutorial used DOM selectors with broad fallback rectangles; early story state did not always have media/inspect surfaces available.,Added tutorial-only visual demos for interactive text/media/inspect states; tightened step copy and fallback targeting without mutating playback state.,Improved; still needs another screenshot review on real desktop/mobile flows.,04/29/2026
Spacebar triggered focused controls or page scroll instead of playback,usePlaybackController.js; TextSegment.jsx; FloatingPlaybackBar.jsx; StoryRenderer.jsx; MarginMediaStage.jsx,Desktop/Mobile keyboard,High,"After clicking buttons or timed text, pressing Space could re-trigger the last control or scroll the page.",Mouse/touch clicks left focus on buttons or role=button timed text; global Space handler skipped too many interactive targets.,Blur pointer-activated controls and timed text; changed global Space logic so timed text/inline media clicks route Space back to playback unless typing or in modal/keyboard-focused control.,Improved; user-reported text-click scroll issue addressed in follow-up.,04/29/2026
Mobile media peeks felt like buggy one-time flashes,MarginMediaStage.jsx; readiscover.css,Mobile,High,Active cue previews faded quickly and only appeared the first time a cue was reached.,Mobile peek state tracked shown cue IDs permanently and auto-collapsed too quickly.,Extended peek duration and transitions; changed repeat policy so peeks can reappear when a cue is replayed or seeked back to its start.,Improved; still needs mobile hands-on validation.,04/29/2026
Progress bar media markers lacked affordance,FloatingPlaybackBar.jsx; readiscover.css,Desktop/Mobile,Medium,"Markers were clickable and worked, but their meaning was not legible enough.",Tiny marker-only UI had aria/title labels but little visible explanation.,"Added hover/focus tooltips, clearer aria/title text, active/reached states, and expanded-control hint that gold dots jump to synced media.",Improved; mobile affordance may need a later dedicated hint pattern.,04/29/2026
Playback and inspect labels were too vague or technical,FloatingPlaybackBar.jsx; MarginMediaStage.jsx,Desktop/Mobile,Medium,Open and Inspect GIF/Chart/Identity did not clearly communicate actions.,Microcopy reflected implementation concepts more than user intent.,Renamed Open to Controls; changed Inspect chart/media/identity to View chart/media/visual; softened GIF active to Visual cue/Now showing style language.,Improved; full playback controls clarity remains a separate pass.,04/29/2026
Segment media indicators were cluttered and too segment-local,StoryRenderer.jsx; readiscover.css,Desktop/Mobile,High,Left rail markers were visible but not intuitive; split team previews only showed media for the first audio-text segment.,"Each segment rendered only its own mediaCues, so continuation segments broke the team-preview continuity; multiple cues overloaded the rail.",Grouped rail markers by media type with counts; first segment in a continuation run now advertises media cues from its continuation segment too; continuation segment rails are suppressed.,Improved; visual language still needs more UX review.,04/29/2026
GIF/media sizing was inconsistent and sometimes cropped key content,MarginMediaStage.jsx; readiscover.css,Desktop/Mobile,Medium,First GIF cue looked vertically large and later the contained GIF/image felt obscured by the card crop.,Inline media used broad cover-style sizing for GIF/video cues.,Normalized inline moment sizing; changed GIF/video media fit toward contain with a taller 16:11 frame; preserved explicit mediaFit support for future overrides.,Partially improved; user is not fully satisfied with GIF sizing and it needs another design pass.,04/29/2026
Older inline media links conflicted with timeline media cues,TextSegment.jsx; MarginMediaStage.jsx; mockPlayoffPreview.js,Desktop/Mobile,High,"Hyperlinked GIF/image moments could linger or be hidden behind active cued charts, including the Taco Bell cardigan image.",Inline links used a temporary custom event path separate from timeline media cue priority.,Inline media now renders with priority alongside active timeline cues; old GIF-ish inline entries were normalized; Taco Bell cardigan restored as static photo cue.,Improved; long-term overlap policy for inline media versus timeline media still needs product design.,04/29/2026
Mobile media previews only appeared once per cue,MarginMediaStage.jsx,Mobile,Medium,Replaying or clicking back into a section did not show the preview again.,The component stored every shown mobile cue ID in a permanent Set for the session.,Replaced permanent suppression with last-cue gating and replay-from-cue-start detection.,Improved; should be verified with repeated seek/play on mobile.,04/29/2026
Active media label wording felt too literal,MarginMediaStage.jsx; mockPlayoffPreview.js,Desktop/Mobile,Low,Labels like GIF active exposed implementation detail.,Cue type labels were generated directly from media type.,Changed motion cue labels and data kickers toward Visual cue and Now showing.,Improved.,04/29/2026
